 n, WagnerPruss(T), Improved_Magnus(T), Huang(T), dales_formula
         -40   7385.1104746860810        7374.7167515200936        7384.9328113630290        7384.3742213509022     
         -39   7000.3069767449479        6989.4214183308195        7000.1677296801818        6999.6349586642082     
         -38   6632.9506054678504        6621.7269192326758        6632.8469897595069        6632.3477461245920     
         -37   6282.3810768517806        6270.9550494093137        6282.3102985395790        6281.8502800209581     
         -36   5947.9573751218968        5936.4482781291244        5947.9166519659420        5947.4998132724741     
         -35   5629.0574013142132        5617.5693189250442        5629.0439819591247        5628.6727783579800     
         -34   5325.0776219626423        5313.7007027131622        5325.0888034690824        5324.7644118272901     
         -33   5035.4327180543760        5024.2443539782680        5035.4658617928108        5035.1883805125926     
         -32   4759.5552344181178        4748.6211701522398        4759.6077803314583        4759.3764095565193     
         -31   4496.8952297088599        4486.2706043087619        4496.9647089608261        4496.7779123745795     
         -30   4246.9199271521238        4236.6502512954748        4247.0039731889110        4246.8596226683730     
         -29   4009.1133662106045        3999.2354374220204        4009.2097242714694        4009.1052286052482     
         -28   3782.9760553349306        3773.5188138198778        3783.0825904555704        3783.0150092808235     
         -27   3568.0246259588257        3559.0099535870863        3568.1393295187063        3568.1054735780181     
         -26   3363.7914878985207        3355.2349528281752        3363.9124827690457        3363.9090015374154     
         -25   3169.8244863139612        3161.7360356966915        3169.9500306703744        3169.9734883503888     
         -24   2985.6865603885949        2978.0711635447165        2985.8150502525395        2985.8619910877474     
         -23   2810.9554038817464        2803.8136482807117        2811.0853744658871        2811.1523782728941     
         -22   2645.2231277067672        2638.5517700338419        2645.3532536353559        2645.4369824089945     
         -21   2488.0959246848061        2481.8883992197466        2488.2250191672256        2488.3222555666816     
         -20   2339.1937366227544        2333.4406230993577        2339.3207496582745        2339.4284281375694     
         -19   2198.1499238605561        2192.8393769190557        2198.2739395540957        2198.3891708573769     
         -18   2064.6109374308776        2059.7290797169549        2064.7311705001312        2064.8512601995890     
         -17   1938.2359939712280        1933.7672748766302        1938.3517855254424        1938.4742472389685     
         -16   1818.6967535254296        1814.6242755060182        1818.8075661957005        1818.9301300821919     
         -15   1705.6770003681740        1701.9828147155868        1705.7824128683053        1705.9030299596741     
         -14   1598.8723269831110        1595.5377008661910        1598.9720281786972        1599.0888710709851     
         -13   1497.9898213215665        1494.9954778532917        1498.0836038829914        1498.1950642729921     
         -12   1402.7477574648599        1400.0740904904258        1402.8355111780470        1402.9401946976279     
         -11   1312.8752898099151        1310.5025550509829        1312.9569946160348        1313.0537133827140     
         -10   1228.1121508936144        1226.0206350234860        1228.1878697261188        1228.2756329968529     
          -9   1148.2083529671972        1146.3785221316482        1148.2782244518251        1148.3562277359626     
          -8   1072.9238934282191        1071.3365226665533        1072.9881245078716        1073.0557374660502     
          -7   1002.0284642126453        1000.6647491743315        1002.0873227560825        1002.1440761831299     
          -6   935.30116524577863        934.14281753871614        935.35497269503878        935.40054485868916     
          -5   872.53022204573847        871.55954949385057        872.57934615374438        872.61354873433129     
          -4   813.51270756891097        812.71268059869772        813.55755527459939        813.58031912707247     
          -3   758.05426838167693        757.40857370035974        758.09527886623937        758.10663980203219     
          -2   705.96885523819162        705.46193790958216        706.00649320195942        706.00657796617998     
          -1   657.07845813895312        656.69555310766907        657.11320733440482        657.10221993285654     
           0   611.21284593985558        610.94000000000005        611.24520299229698        611.22341150286366     
           1   568.20931057649341        568.03339572731045        568.23977911995462        568.20750310428912     
           2   527.91241596330372        527.82113504187760        527.94150111528575        527.89909972888290     
           3   490.17375162205269        490.15563705175811        490.20195481686261        490.14981569933803     
           4   454.85169108889437        454.89609753224812        454.87950528565636        454.81803429737863     
           5   421.81115514418320        421.90824679978732        421.83906042182286        421.76867227867916     
           6   390.92337990380867        391.06411313961644        390.95183945193816        390.87294929662659     
           7   362.06568980576179        362.24179177461929        362.09514631691667        362.00816225266772     
           8   335.12127552030546        335.32521935894675        335.15214798581570        335.05746458702083     
           9   309.97897680696013        310.20395397623270        310.01165771565712        309.90965051924758     
          10   286.53307033624577        286.77296061847881        286.56792327240817        286.45894424418407     
          11   264.68306248906339        264.93240211800634        264.72042012322117        264.60479408446849     
          12   244.33348714135519        244.58743550125712        244.37364960517337        244.25167159684722     
          13   225.39370843664105        225.64801372967793        225.43694207079190        225.30887562523822     
          14   207.77772854401709        208.02869278944203        207.82426500587349        207.69034128945566     
          15   191.40400039421016        191.64844408836058        191.45403611031372        191.31445389436982     
          16   176.19524538139444        176.43047211501172        176.24894132802547        176.10386774022550     
          17   162.07827601366003        162.30203731187711        162.13575780736878        161.98532981070412     
          18   148.98382349033338        149.19428411112438        149.04518176906038        148.88950831140767     
          19   136.84637017969007        137.04207407861549        136.91166125407474        136.75082602735552     
          20   125.60398696610835        125.78382410875949        125.67323371976572        125.50729846419820     
          21   115.19817543130218        115.36134960996436        115.27136844821501        115.10037673396813     
          22   105.57371483001313        105.71971261768570        105.65081372674413        105.47479514236645     
          23   96.678513816356485        96.807074769417454        96.759448756555841        96.578423430833396     
          24   88.463466873030342        88.574555073428613        88.548140241626967        88.362123623075234     
          25   80.882315391713092        80.976092400622463        80.970603606285721        80.779611422119800     
          26   73.891513349255717        73.968312626582275        73.983268786331848        73.787322100667168     
          27   67.450097520687905        67.510400348675901        67.545150535135306        67.344280824236051     
          28   61.519562166664628        61.563975101018769        61.617723182882159        61.411977343632060     
          29   56.063738129711226        56.092971988148612        56.164799784008942        55.954244990437125     
          30   51.048676270558403        51.063526656441340        51.152415584903871        50.937143906741852     
